Unix,Date,Symbol,Open,High,Low,Close,Volume ADX,Volume,tradecount
1735171200000,2024-12-26,ADXBTC,0.00000233,0.00000254,0.00000232,0.00000234,2331260,5.54688523,2297
1735084800000,2024-12-25,ADXBTC,0.00000245,0.00000245,0.00000231,0.00000233,1545848,3.68556176,1229
1734998400000,2024-12-24,ADXBTC,0.00000245,0.00000259,0.00000241,0.00000245,2089785,5.22632576,1824
1734912000000,2024-12-23,ADXBTC,0.00000237,0.0000025,0.00000228,0.00000245,2538948,6.12993139,3134
1734825600000,2024-12-22,ADXBTC,0.00000231,0.00000258,0.00000231,0.00000238,5932186,14.41010386,6458
1734739200000,2024-12-21,ADXBTC,0.00000227,0.00000241,0.00000225,0.00000231,3042339,7.05170055,3557
1734652800000,2024-12-20,ADXBTC,0.00000222,0.00000236,0.00000214,0.00000228,2923018,6.58133674,3416
1734566400000,2024-12-19,ADXBTC,0.00000231,0.00000251,0.00000214,0.00000222,7234571,16.74715344,6633
1734480000000,2024-12-18,ADXBTC,0.00000233,0.00000251,0.00000219,0.00000231,8366793,19.30952966,7698
1734393600000,2024-12-17,ADXBTC,0.00000243,0.00000249,0.0000023,0.00000233,3421401,8.10566969,3678
1734307200000,2024-12-16,ADXBTC,0.00000262,0.00000273,0.00000243,0.00000243,8153915,20.98445023,7980
1734220800000,2024-12-15,ADXBTC,0.00000269,0.00000279,0.00000246,0.00000262,12319395,32.17342771,13841
1734134400000,2024-12-14,ADXBTC,0.00000247,0.000003,0.00000238,0.0000027,13355616,35.65430556,13767
1734048000000,2024-12-13,ADXBTC,0.00000261,0.0000029,0.00000239,0.00000247,10861195,28.6082429,10820
1733961600000,2024-12-12,ADXBTC,0.0000022,0.00000305,0.00000218,0.0000026,13798212,35.70611471,12901
1733875200000,2024-12-11,ADXBTC,0.00000222,0.00000234,0.00000216,0.00000221,1649343,3.75440019,3948
1733788800000,2024-12-10,ADXBTC,0.00000225,0.0000023,0.00000213,0.00000222,4069074,9.00583537,6614
1733702400000,2024-12-09,ADXBTC,0.00000252,0.00000252,0.00000219,0.00000225,5600215,13.45380181,6732
1733616000000,2024-12-08,ADXBTC,0.00000243,0.00000259,0.00000242,0.00000251,1687105,4.2328192,2356
1733529600000,2024-12-07,ADXBTC,0.00000247,0.00000256,0.00000242,0.00000243,1726803,4.30574426,6521
1733443200000,2024-12-06,ADXBTC,0.00000245,0.00000253,0.0000024,0.00000248,2600147,6.41888283,4993
1733356800000,2024-12-05,ADXBTC,0.00000241,0.00000259,0.0000023,0.00000245,4360691,10.54307845,10682
1733270400000,2024-12-04,ADXBTC,0.00000241,0.00000255,0.00000237,0.00000241,5874523,14.45777882,9290
1733184000000,2024-12-03,ADXBTC,0.00000231,0.00000243,0.0000023,0.00000241,3098432,7.29651153,6434
1733097600000,2024-12-02,ADXBTC,0.00000224,0.00000232,0.00000214,0.00000231,2203932,4.82820558,12791
1733011200000,2024-12-01,ADXBTC,0.00000221,0.00000228,0.00000219,0.00000224,750950,1.67227569,2779
1732924800000,2024-11-30,ADXBTC,0.00000216,0.00000221,0.00000216,0.0000022,1006056,2.19898272,6161
1732838400000,2024-11-29,ADXBTC,0.00000214,0.00000218,0.0000021,0.00000217,1052288,2.24819923,6852
1732752000000,2024-11-28,ADXBTC,0.00000209,0.0000022,0.00000208,0.00000214,1114803,2.39729223,5030
1732665600000,2024-11-27,ADXBTC,0.00000208,0.00000212,0.00000206,0.00000209,986189,2.05639821,4218
1732579200000,2024-11-26,ADXBTC,0.00000213,0.00000215,0.00000204,0.00000207,2153009,4.48402697,8702
1732492800000,2024-11-25,ADXBTC,0.000002,0.00000214,0.000002,0.00000213,2342465,4.85942395,6900
1732406400000,2024-11-24,ADXBTC,0.00000195,0.00000204,0.00000194,0.00000201,1005214,1.99108983,3597
1732320000000,2024-11-23,ADXBTC,0.00000183,0.00000197,0.00000183,0.00000194,938665,1.79963091,2474
1732233600000,2024-11-22,ADXBTC,0.00000185,0.00000186,0.0000018,0.00000183,1121421,2.05997934,4828
1732147200000,2024-11-21,ADXBTC,0.00000189,0.0000019,0.00000179,0.00000185,2707390,5.00811408,11889
1732060800000,2024-11-20,ADXBTC,0.00000195,0.00000195,0.00000189,0.00000189,2532367,4.87654681,9800
1731974400000,2024-11-19,ADXBTC,0.00000208,0.0000021,0.00000195,0.00000195,3123310,6.32720825,11747
1731888000000,2024-11-18,ADXBTC,0.00000201,0.00000208,0.00000198,0.00000208,1373273,2.7662316,5347
1731801600000,2024-11-17,ADXBTC,0.00000202,0.00000224,0.000002,0.00000201,3553072,7.503349,7536
1731715200000,2024-11-16,ADXBTC,0.00000195,0.00000201,0.00000192,0.00000201,156434,0.30871538,192
1731628800000,2024-11-15,ADXBTC,0.00000198,0.000002,0.00000192,0.00000196,179989,0.35264494,367
1731542400000,2024-11-14,ADXBTC,0.00000192,0.000002,0.00000191,0.00000198,308002,0.60030419,676
1731456000000,2024-11-13,ADXBTC,0.00000202,0.00000202,0.00000191,0.00000193,964064,1.8916803,856
