Unix,Date,Symbol,Open,High,Low,Close,Volume TOMO,Volume,tradecount
1700352000000,2023-11-19,TOMOUSDT,1.1755,1.2833,1.162,1.2718,3990789.9,4880315.94688,19287
1700265600000,2023-11-18,TOMOUSDT,1.1787,1.2234,1.1453,1.1763,1827492.4,2154739.94284,9710
1700179200000,2023-11-17,TOMOUSDT,1.142,1.2929,1.1335,1.1787,6038657.2,7314413.36771,32053
1700092800000,2023-11-16,TOMOUSDT,1.2662,1.2829,0.9532,1.1421,18278206.7,20458799.45465,77102
1700006400000,2023-11-15,TOMOUSDT,1.289,1.3299,1.2388,1.2641,3212438.6,4084919.62024,19681
1699920000000,2023-11-14,TOMOUSDT,1.1889,1.3333,1.1627,1.2854,15890540.9,20128841.92921,124208
1699833600000,2023-11-13,TOMOUSDT,1.1671,1.2195,1.1544,1.1889,7829365,9306678.97499,80260
1699747200000,2023-11-12,TOMOUSDT,1.1431,1.1949,1.0868,1.1669,6647580.7,7654859.7661,43894
1699660800000,2023-11-11,TOMOUSDT,1.175,1.1766,1.1107,1.143,5280938,6050106.54272,34766
1699574400000,2023-11-10,TOMOUSDT,1.1823,1.2166,1.1237,1.175,8363773.1,9746993.55399,67500
1699488000000,2023-11-09,TOMOUSDT,1.2982,1.3393,1.0822,1.1804,11894186.8,14654143.73336,99029
1699401600000,2023-11-08,TOMOUSDT,1.2935,1.3072,1.2755,1.2976,4306530.5,5575876.60811,39298
1699315200000,2023-11-07,TOMOUSDT,1.3308,1.337,1.251,1.2938,7242255.8,9337281.78668,64029
1699228800000,2023-11-06,TOMOUSDT,1.3018,1.4399,1.2741,1.3297,16500121.7,22272906.75334,103653
1699142400000,2023-11-05,TOMOUSDT,1.3077,1.3248,1.2524,1.3022,8440829.9,10968866.44861,57082
1699056000000,2023-11-04,TOMOUSDT,1.3214,1.3351,1.26,1.3076,9804305.3,12758032.25096,69966
1698969600000,2023-11-03,TOMOUSDT,1.6254,1.6385,1.2515,1.321,30251415.1,39820357.88322,228089
1698883200000,2023-11-02,TOMOUSDT,1.7845,1.8294,1.6,1.6274,5042848.2,8643537.7818,46777
1698796800000,2023-11-01,TOMOUSDT,1.7601,1.91,1.711,1.7853,7384605.4,13399145.57031,71046
1698710400000,2023-10-31,TOMOUSDT,1.806,1.8487,1.7115,1.7604,2869900.6,5126481.81587,32182
1698624000000,2023-10-30,TOMOUSDT,1.7477,1.86,1.74,1.805,3239440.6,5848662.20577,37147
1698537600000,2023-10-29,TOMOUSDT,1.7493,1.8121,1.7001,1.7489,2896487.6,5094238.92586,28550
1698451200000,2023-10-28,TOMOUSDT,1.7901,1.8267,1.727,1.7473,2927488.7,5216044.05854,22731
1698364800000,2023-10-27,TOMOUSDT,1.8811,1.8828,1.7764,1.7876,2526802,4592718.14372,26167
1698278400000,2023-10-26,TOMOUSDT,1.788,1.9043,1.7478,1.8809,5415198.9,9934239.1673,45919
1698192000000,2023-10-25,TOMOUSDT,1.7328,1.9,1.7143,1.788,7322291.8,13048773.23345,65033
1698105600000,2023-10-24,TOMOUSDT,1.5284,1.8041,1.5016,1.7318,10290720.5,17100562.42035,83917
1698019200000,2023-10-23,TOMOUSDT,1.4861,1.5315,1.4307,1.5285,2609777,3846122.18024,26841
1697932800000,2023-10-22,TOMOUSDT,1.4902,1.4995,1.4513,1.4861,1363126.8,2009501.39437,12062
1697846400000,2023-10-21,TOMOUSDT,1.52,1.5641,1.465,1.4909,2459925.2,3710989.77808,21241
1697760000000,2023-10-20,TOMOUSDT,1.5008,1.5758,1.4916,1.5193,1806719.1,2760286.22316,15695
1697673600000,2023-10-19,TOMOUSDT,1.5222,1.5339,1.4753,1.5012,1347220.3,2029786.43998,13071
1697587200000,2023-10-18,TOMOUSDT,1.4909,1.5444,1.482,1.5232,2171795.1,3290579.5991,21240
1697500800000,2023-10-17,TOMOUSDT,1.4601,1.5255,1.4451,1.4906,2159674.3,3230668.29003,21086
1697414400000,2023-10-16,TOMOUSDT,1.5024,1.5084,1.4104,1.4599,2839479.7,4139333.27518,26385
1697328000000,2023-10-15,TOMOUSDT,1.4907,1.6752,1.4343,1.5028,4992918.4,7466032.05584,35910
1697241600000,2023-10-14,TOMOUSDT,1.4797,1.5538,1.4701,1.4905,2196941.8,3317689.6864,17571
1697155200000,2023-10-13,TOMOUSDT,1.4365,1.4969,1.4236,1.4806,1612815.4,2370637.83278,16116
1697068800000,2023-10-12,TOMOUSDT,1.4723,1.481,1.4328,1.437,1584418.3,2309536.18034,14491
1696982400000,2023-10-11,TOMOUSDT,1.4361,1.48,1.4005,1.4727,2225013.1,3222175.70664,18021
1696896000000,2023-10-10,TOMOUSDT,1.3856,1.45,1.3784,1.4355,1926337.3,2718512.40921,17856
1696809600000,2023-10-09,TOMOUSDT,1.412,1.4258,1.3268,1.3851,1992441,2746571.50839,19856
1696723200000,2023-10-08,TOMOUSDT,1.4718,1.4774,1.4011,1.4127,1462416.8,2085380.92831,13759
1696636800000,2023-10-07,TOMOUSDT,1.4335,1.492,1.4303,1.4726,1810830.8,2655596.80585,17463
1696550400000,2023-10-06,TOMOUSDT,1.4082,1.455,1.406,1.4336,1459965.3,2085128.80965,12982
1696464000000,2023-10-05,TOMOUSDT,1.3797,1.4247,1.36,1.4086,1674671.5,2349898.93256,16858
1696377600000,2023-10-04,TOMOUSDT,1.3829,1.402,1.3155,1.3796,2639417.3,3610135.89862,22241
1696291200000,2023-10-03,TOMOUSDT,1.4249,1.4694,1.3712,1.3829,3993309.2,5703944.33975,32974
1696204800000,2023-10-02,TOMOUSDT,1.3481,1.53,1.3468,1.4249,11979838.6,17383228.60718,93089
1696118400000,2023-10-01,TOMOUSDT,1.3023,1.3784,1.2956,1.3482,1512934.3,2008188.71065,15792
