Unix,Date,Symbol,Open,High,Low,Close,Volume XVS,Volume,tradecount
1735171200000,2024-12-26,XVSBNB,0.01425,0.0143,0.01347,0.0137,2539.5,34.9865983,657
1735084800000,2024-12-25,XVSBNB,0.01464,0.01464,0.01415,0.01425,2216.29,31.7660275,330
1734998400000,2024-12-24,XVSBNB,0.01429,0.01483,0.01393,0.01457,3986.95,57.3071104,763
1734912000000,2024-12-23,XVSBNB,0.01396,0.01449,0.01354,0.01422,9805.71,138.3232162,1274
1734825600000,2024-12-22,XVSBNB,0.01364,0.01411,0.01347,0.01398,5958.15,82.1351894,881
1734739200000,2024-12-21,XVSBNB,0.01351,0.01424,0.01337,0.01371,8758.8,120.869921,1150
1734652800000,2024-12-20,XVSBNB,0.01342,0.01403,0.01253,0.01354,16246.93,215.5564168,1190
1734566400000,2024-12-19,XVSBNB,0.01368,0.01511,0.01319,0.01334,23704.43,334.4206801,2476
1734480000000,2024-12-18,XVSBNB,0.01468,0.01473,0.01364,0.01369,4146.37,58.5601834,429
1734393600000,2024-12-17,XVSBNB,0.0152,0.01524,0.01433,0.01468,6193.09,91.6407606,824
1734307200000,2024-12-16,XVSBNB,0.0158,0.0161,0.01513,0.01529,6629.56,103.0475058,1250
1734220800000,2024-12-15,XVSBNB,0.0155,0.01592,0.01481,0.01575,9964.1,154.0208034,1143
1734134400000,2024-12-14,XVSBNB,0.01504,0.01636,0.01492,0.0154,13185.32,204.1992148,1469
1734048000000,2024-12-13,XVSBNB,0.01567,0.01597,0.01481,0.01504,5440.45,83.9509611,834
1733961600000,2024-12-12,XVSBNB,0.01456,0.01567,0.01439,0.01558,6266.11,94.7902539,975
1733875200000,2024-12-11,XVSBNB,0.01436,0.0147,0.01386,0.01458,7034.91,100.046447,914
1733788800000,2024-12-10,XVSBNB,0.01402,0.01528,0.01329,0.01438,24888.08,349.7912237,3263
1733702400000,2024-12-09,XVSBNB,0.01605,0.01626,0.01312,0.01404,21838.62,314.2995114,2602
1733616000000,2024-12-08,XVSBNB,0.0153,0.01627,0.01511,0.01598,3267.28,51.4004966,769
1733529600000,2024-12-07,XVSBNB,0.0162,0.01624,0.01509,0.01538,3917.64,61.0134506,914
1733443200000,2024-12-06,XVSBNB,0.0157,0.01623,0.01541,0.01618,7884.75,124.4692544,1163
1733356800000,2024-12-05,XVSBNB,0.01592,0.01633,0.01551,0.01575,9673.52,153.3890175,1503
1733270400000,2024-12-04,XVSBNB,0.01552,0.01662,0.01472,0.01595,28920.85,453.6195447,3640
1733184000000,2024-12-03,XVSBNB,0.01558,0.01664,0.01549,0.01556,18948.86,303.0398074,2196
1733097600000,2024-12-02,XVSBNB,0.0152,0.01639,0.01494,0.01561,13587.46,212.0126924,2038
1733011200000,2024-12-01,XVSBNB,0.01518,0.0153,0.01488,0.01517,1905.79,28.7310505,347
1732924800000,2024-11-30,XVSBNB,0.0149,0.01534,0.01471,0.01521,3548.69,53.3426053,759
1732838400000,2024-11-29,XVSBNB,0.01422,0.01525,0.01414,0.01494,4011,59.3888326,580
1732752000000,2024-11-28,XVSBNB,0.01528,0.01529,0.01399,0.01438,7148.2,104.3926162,787
1732665600000,2024-11-27,XVSBNB,0.01417,0.01621,0.01393,0.0153,14783.94,224.4987133,1611
1732579200000,2024-11-26,XVSBNB,0.01372,0.01459,0.01311,0.01423,8615.01,119.4621896,1263
1732492800000,2024-11-25,XVSBNB,0.01332,0.01409,0.01319,0.01365,7349.26,100.8147924,1025
1732406400000,2024-11-24,XVSBNB,0.01277,0.01347,0.01262,0.01341,12955.46,169.5384555,1807
1732320000000,2024-11-23,XVSBNB,0.01243,0.01293,0.01191,0.01279,11048.37,135.8904009,1859
1732233600000,2024-11-22,XVSBNB,0.01226,0.01263,0.01194,0.01243,5141.52,63.0201059,842
1732147200000,2024-11-21,XVSBNB,0.01175,0.01253,0.01153,0.01228,6282.38,75.413447,919
1732060800000,2024-11-20,XVSBNB,0.01262,0.01262,0.01175,0.01175,4013.49,48.9904416,691
1731974400000,2024-11-19,XVSBNB,0.01282,0.01286,0.01253,0.01267,2411.46,30.5981697,474
1731888000000,2024-11-18,XVSBNB,0.01269,0.01286,0.01244,0.01286,4505.39,57.1008197,814
1731801600000,2024-11-17,XVSBNB,0.01266,0.01295,0.01225,0.01268,5327.19,66.9157591,1107
1731715200000,2024-11-16,XVSBNB,0.01275,0.0128,0.01219,0.01267,6162.31,77.3041999,776
1731628800000,2024-11-15,XVSBNB,0.01192,0.01282,0.01179,0.01282,3299.4,40.4993679,672
1731542400000,2024-11-14,XVSBNB,0.01215,0.01221,0.01164,0.01188,6305.76,75.2020607,1064
1731456000000,2024-11-13,XVSBNB,0.01251,0.01263,0.01199,0.01214,5596.56,68.5981293,1450
1731369600000,2024-11-12,XVSBNB,0.0124,0.01259,0.0119,0.01256,7952.97,97.5383903,1694
1731283200000,2024-11-11,XVSBNB,0.01244,0.01258,0.01218,0.01238,5531.21,68.4052225,1018
1731196800000,2024-11-10,XVSBNB,0.01183,0.01277,0.01166,0.01242,9993.78,123.4373356,1892
1731110400000,2024-11-09,XVSBNB,0.0118,0.01188,0.01146,0.01186,4756.14,55.6884775,871
1731024000000,2024-11-08,XVSBNB,0.01175,0.0118,0.01158,0.0118,1076.73,12.5744597,273
1730937600000,2024-11-07,XVSBNB,0.01212,0.01216,0.01168,0.01172,3092.03,36.9602679,543
1730851200000,2024-11-06,XVSBNB,0.0112,0.01215,0.0112,0.01209,5227.83,61.2938054,878
1730764800000,2024-11-05,XVSBNB,0.01108,0.01126,0.01106,0.01118,1449.67,16.1764148,217
1730678400000,2024-11-04,XVSBNB,0.01125,0.01129,0.011,0.01102,1289.93,14.3734575,283
1730592000000,2024-11-03,XVSBNB,0.01126,0.01126,0.01101,0.0112,1492.05,16.6050641,287
1730505600000,2024-11-02,XVSBNB,0.01149,0.01153,0.01116,0.01128,854.62,9.632883,172
1730419200000,2024-11-01,XVSBNB,0.01145,0.01164,0.01134,0.01146,1206.45,13.8620885,278
1730332800000,2024-10-31,XVSBNB,0.01173,0.01177,0.01133,0.01141,2044.16,23.6766672,288
1730246400000,2024-10-30,XVSBNB,0.01211,0.01211,0.01168,0.01173,1523.08,18.1100012,367
1730160000000,2024-10-29,XVSBNB,0.01202,0.01238,0.0119,0.0121,3907.37,47.3970975,679
1730073600000,2024-10-28,XVSBNB,0.01177,0.01214,0.01154,0.012,5056.91,59.8384675,768
1729987200000,2024-10-27,XVSBNB,0.01179,0.01207,0.01164,0.01172,3879.35,45.9914655,555
1729900800000,2024-10-26,XVSBNB,0.01142,0.0124,0.01122,0.01177,7198.75,85.6139524,1143
1729814400000,2024-10-25,XVSBNB,0.01202,0.01218,0.0114,0.01149,3827.58,45.3673542,696
1729728000000,2024-10-24,XVSBNB,0.01214,0.0122,0.01193,0.012,1064.13,12.8175653,212
1729641600000,2024-10-23,XVSBNB,0.01223,0.01229,0.01185,0.01216,2174.16,26.2544025,336
1729555200000,2024-10-22,XVSBNB,0.01225,0.01254,0.01209,0.01216,1617.2,19.8910499,312
1729468800000,2024-10-21,XVSBNB,0.01247,0.01285,0.01225,0.01225,3383.86,42.5442326,591
1729382400000,2024-10-20,XVSBNB,0.01259,0.01264,0.01227,0.0125,2285.66,28.4234867,299
1729296000000,2024-10-19,XVSBNB,0.01278,0.0129,0.01249,0.01253,1342.8,17.0434245,214
1729209600000,2024-10-18,XVSBNB,0.01252,0.01278,0.01243,0.01278,1690.3,21.3503056,231
1729123200000,2024-10-17,XVSBNB,0.01215,0.01279,0.01201,0.01258,3870.53,48.3724274,541
1729036800000,2024-10-16,XVSBNB,0.01259,0.01259,0.0121,0.0121,1232.11,15.1842036,318
1728950400000,2024-10-15,XVSBNB,0.01278,0.01285,0.01243,0.01255,2846.7,35.8486368,545
