Unix,Date,Symbol,Open,High,Low,Close,Volume XVS,Volume,tradecount
1735171200000,2024-12-26,XVSUSDT,10.04,10.08,9.24,9.42,161076.17,1535888.9561,21447
1735084800000,2024-12-25,XVSUSDT,10.19,10.34,9.88,10.04,145202.98,1466068.292,15452
1734998400000,2024-12-24,XVSUSDT,9.88,10.35,9.59,10.19,191801.66,1906005.6365,24285
1734912000000,2024-12-23,XVSUSDT,9.12,10.02,8.86,9.89,343719.92,3249321.643,37255
1734825600000,2024-12-22,XVSUSDT,9.1,9.28,8.76,9.13,323802.59,2926743.7982,32841
1734739200000,2024-12-21,XVSUSDT,9.17,9.84,8.77,9.09,526969.84,4888488.5405,52987
1734652800000,2024-12-20,XVSUSDT,8.87,9.52,7.79,9.18,1127724.96,9782321.2714,76960
1734566400000,2024-12-19,XVSUSDT,9.39,10.26,8.83,8.86,1310897.21,12613088.7695,95036
1734480000000,2024-12-18,XVSUSDT,10.51,10.63,9.36,9.4,368403.72,3679544.4196,34271
1734393600000,2024-12-17,XVSUSDT,10.99,11.01,10.41,10.48,318936.5,3401942,28279
1734307200000,2024-12-16,XVSUSDT,11.33,11.58,10.74,10.99,561912.76,6233914.8464,55423
1734220800000,2024-12-15,XVSUSDT,11.05,11.46,10.46,11.32,980486.73,10724562.8689,89220
1734134400000,2024-12-14,XVSUSDT,10.92,11.71,10.7,11.05,902565,10033436.659,110944
1734048000000,2024-12-13,XVSUSDT,11.03,11.34,10.63,10.92,325416.12,3562261.0797,41403
1733961600000,2024-12-12,XVSUSDT,10.38,11.22,10.28,11.03,397743.62,4325644.4483,49317
1733875200000,2024-12-11,XVSUSDT,9.73,10.42,9.21,10.38,595617.88,5775776.9989,58766
1733788800000,2024-12-10,XVSUSDT,9.66,10.37,8.68,9.73,969990.83,9284580.0276,94568
1733702400000,2024-12-09,XVSUSDT,11.89,12,8.29,9.66,897787.83,9256709.9427,96329
1733616000000,2024-12-08,XVSUSDT,11.48,12.07,11.19,11.89,293316.53,3409277.4647,32744
1733529600000,2024-12-07,XVSUSDT,11.8,11.96,11.41,11.48,199134.85,2325177.4744,23592
1733443200000,2024-12-06,XVSUSDT,11.27,11.96,10.91,11.79,513830.47,5901186.5385,47869
1733356800000,2024-12-05,XVSUSDT,11.75,11.82,10.85,11.26,641613.81,7253054.6944,61092
1733270400000,2024-12-04,XVSUSDT,11.44,12.88,11.12,11.77,1367335.29,16403805.6711,115401
1733184000000,2024-12-03,XVSUSDT,10.09,11.62,9.82,11.44,905386.85,9605623.8914,79417
1733097600000,2024-12-02,XVSUSDT,9.95,10.47,9.53,10.1,1011663.88,10120956.7387,101721
1733011200000,2024-12-01,XVSUSDT,9.92,10.09,9.6,9.94,207328.01,2047536.5046,20754
1732924800000,2024-11-30,XVSUSDT,9.76,10.16,9.65,9.92,383305.46,3803710.5997,33762
1732838400000,2024-11-29,XVSUSDT,9.37,10.07,9.25,9.76,329807.44,3194476.2306,28808
1732752000000,2024-11-28,XVSUSDT,9.87,9.95,9.16,9.37,582343.2,5554456.7456,41959
1732665600000,2024-11-27,XVSUSDT,8.71,10.38,8.45,9.86,1096865.02,10480828.905,87140
1732579200000,2024-11-26,XVSUSDT,8.69,8.91,8.08,8.71,787358.65,6746852.2847,70939
1732492800000,2024-11-25,XVSUSDT,8.86,9.49,8.5,8.69,651848.66,5852992.05,56013
1732406400000,2024-11-24,XVSUSDT,8.34,9.21,8.09,8.86,962697.66,8337779.2223,69638
1732320000000,2024-11-23,XVSUSDT,7.87,8.48,7.66,8.34,756428.42,6119120.3821,61663
1732233600000,2024-11-22,XVSUSDT,7.64,7.88,7.43,7.87,383789.34,2945696.9993,30944
1732147200000,2024-11-21,XVSUSDT,7.11,7.8,6.89,7.64,652190.4,4871061.0492,56590
1732060800000,2024-11-20,XVSUSDT,7.78,7.78,7.1,7.12,474870.92,3529909.0883,38031
1731974400000,2024-11-19,XVSUSDT,7.96,7.97,7.59,7.78,237399.55,1855761.3621,22508
1731888000000,2024-11-18,XVSUSDT,7.84,8.05,7.63,7.97,472563.84,3724276.5713,36801
1731801600000,2024-11-17,XVSUSDT,7.9,8.01,7.48,7.84,459160.98,3602332.7434,49554
1731715200000,2024-11-16,XVSUSDT,7.93,7.98,7.56,7.89,642155.34,5035244.269,58655
1731628800000,2024-11-15,XVSUSDT,7.41,7.95,7.17,7.93,353917.49,2670706.4168,36581
1731542400000,2024-11-14,XVSUSDT,7.53,7.78,7.29,7.42,383461.54,2890995.7849,36639
1731456000000,2024-11-13,XVSUSDT,7.83,7.94,7.22,7.54,460350.46,3471693.8477,49113
1731369600000,2024-11-12,XVSUSDT,8.17,8.27,7.31,7.82,610875.34,4747263.6039,54111
1731283200000,2024-11-11,XVSUSDT,7.8,8.2,7.5,8.18,456486.13,3565405.2672,38982
1731196800000,2024-11-10,XVSUSDT,7.41,8.09,7.28,7.8,613484.82,4755925.145,43815
1731110400000,2024-11-09,XVSUSDT,7.06,7.66,7.04,7.4,400583.42,2943381.4397,32164
1731024000000,2024-11-08,XVSUSDT,7.03,7.13,6.88,7.06,183002.76,1277680.1715,19663
1730937600000,2024-11-07,XVSUSDT,7.16,7.3,6.93,7.02,385870.5,2750509.6588,31326
1730851200000,2024-11-06,XVSUSDT,6.3,7.2,6.3,7.17,457846.93,3150793.702,43431
1730764800000,2024-11-05,XVSUSDT,6.1,6.4,6.1,6.3,124154.89,778560.3025,14676
1730678400000,2024-11-04,XVSUSDT,6.25,6.37,5.98,6.1,121197.22,752280.9878,12978
1730592000000,2024-11-03,XVSUSDT,6.4,6.42,6.1,6.26,164040.45,1020504.0583,13607
1730505600000,2024-11-02,XVSUSDT,6.57,6.63,6.32,6.39,127652.22,824071.3483,10793
1730419200000,2024-11-01,XVSUSDT,6.6,6.79,6.49,6.57,164619.82,1088455.7051,11225
1730332800000,2024-10-31,XVSUSDT,7,7.02,6.5,6.59,189162.37,1280065.0791,17163
1730246400000,2024-10-30,XVSUSDT,7.34,7.35,6.97,6.99,219741.53,1565546.1988,18885
1730160000000,2024-10-29,XVSUSDT,7.21,7.53,7.18,7.34,474861.72,3481974.6703,24978
1730073600000,2024-10-28,XVSUSDT,6.92,7.24,6.79,7.21,666748.09,4692501.0091,36686
1729987200000,2024-10-27,XVSUSDT,6.86,7.11,6.78,6.91,704009.17,4905241.9926,31200
1729900800000,2024-10-26,XVSUSDT,6.59,7.22,6.43,6.86,399695.81,2772040.6582,33092
1729814400000,2024-10-25,XVSUSDT,7.13,7.19,6.5,6.59,221960.37,1533173.6879,16132
1729728000000,2024-10-24,XVSUSDT,7.1,7.21,7.01,7.12,64793.61,461718.9293,4698
1729641600000,2024-10-23,XVSUSDT,7.24,7.27,6.95,7.1,197720.15,1395962.7887,12531
1729555200000,2024-10-22,XVSUSDT,7.36,7.49,7.2,7.24,135303.16,987911.7608,9131
1729468800000,2024-10-21,XVSUSDT,7.58,7.78,7.32,7.36,258063.66,1954231.9952,14365
1729382400000,2024-10-20,XVSUSDT,7.49,7.59,7.33,7.59,280415.21,2083370.6934,14295
1729296000000,2024-10-19,XVSUSDT,7.66,7.72,7.45,7.49,114226.19,866594.6615,6619
1729209600000,2024-10-18,XVSUSDT,7.42,7.66,7.38,7.66,147384.14,1108197.0004,9100
1729123200000,2024-10-17,XVSUSDT,7.28,7.6,7.17,7.42,393721.28,2928830.2829,32767
1729036800000,2024-10-16,XVSUSDT,7.47,7.51,7.23,7.28,72209.39,532737.9776,6132
1728950400000,2024-10-15,XVSUSDT,7.55,7.6,7.22,7.48,281029.21,2083372.6552,18573
1728864000000,2024-10-14,XVSUSDT,7.45,7.72,7.32,7.55,334480.24,2522521.1845,14532
1728777600000,2024-10-13,XVSUSDT,7.42,7.48,7.21,7.44,97721.79,718621.2295,6424
1728691200000,2024-10-12,XVSUSDT,7.33,7.6,7.33,7.42,80519.13,602340.5941,6331
1728604800000,2024-10-11,XVSUSDT,7.13,7.39,7.04,7.33,79301.88,573620.9541,5312
1728518400000,2024-10-10,XVSUSDT,7.2,7.38,7.01,7.12,143807.07,1028291.0646,5498
1728432000000,2024-10-09,XVSUSDT,7.5,7.58,7.12,7.2,135785.64,1000551.068,6809
1728345600000,2024-10-08,XVSUSDT,7.3,7.62,7.2,7.5,229952.5,1712959.8303,10354
1728259200000,2024-10-07,XVSUSDT,7.49,7.59,7.29,7.3,233714.4,1746774.5321,10025
1728172800000,2024-10-06,XVSUSDT,7.33,7.54,7.18,7.49,450101.08,3325872.3591,29843
1728086400000,2024-10-05,XVSUSDT,6.98,7.35,6.96,7.33,330837.1,2371254.3444,25616
1728000000000,2024-10-04,XVSUSDT,6.81,7.01,6.73,6.98,172533.07,1186094.8402,8791
1727913600000,2024-10-03,XVSUSDT,6.79,6.97,6.61,6.81,179902.46,1219304.3135,9984
1727827200000,2024-10-02,XVSUSDT,6.97,7.21,6.61,6.79,156031.06,1081690.7501,11099
1727740800000,2024-10-01,XVSUSDT,7.53,7.88,6.85,6.97,311837.51,2284922.6756,18471
1727654400000,2024-09-30,XVSUSDT,8.06,8.15,7.51,7.54,316385.58,2496159.171,23317
1727568000000,2024-09-29,XVSUSDT,7.97,8.16,7.76,8.06,192984.76,1533751.3291,16543
1727481600000,2024-09-28,XVSUSDT,7.78,8.38,7.67,7.96,808865.75,6519603.8669,52237
1727395200000,2024-09-27,XVSUSDT,7.51,7.87,7.46,7.79,283827.49,2172487.8754,18711
1727308800000,2024-09-26,XVSUSDT,7.39,7.69,7.33,7.51,218958.26,1657021.1344,12428
1727222400000,2024-09-25,XVSUSDT,7.61,7.71,7.36,7.4,107700.34,814181.2941,6395
1727136000000,2024-09-24,XVSUSDT,7.54,7.8,7.38,7.6,173291,1312377.6629,9423
1727049600000,2024-09-23,XVSUSDT,7.34,7.57,7.2,7.54,360979.09,2686737.7562,16577
1726963200000,2024-09-22,XVSUSDT,7.41,7.42,7.1,7.33,201954.9,1465199.7661,10246
1726876800000,2024-09-21,XVSUSDT,7.28,7.49,7.19,7.41,235042.99,1731542.1234,12264
1726790400000,2024-09-20,XVSUSDT,7.29,7.52,7.07,7.29,435456.56,3177547.441,28766
1726704000000,2024-09-19,XVSUSDT,7.11,7.41,6.92,7.29,345644.98,2469512.7041,19466
1726617600000,2024-09-18,XVSUSDT,6.98,7.11,6.7,7.1,155577.97,1075331.4565,9090
1726531200000,2024-09-17,XVSUSDT,6.8,7.06,6.71,6.98,90726.19,629445.2426,5910
1726444800000,2024-09-16,XVSUSDT,6.86,6.98,6.73,6.81,211161.7,1455004.8507,18252
1726358400000,2024-09-15,XVSUSDT,7.02,7.12,6.82,6.86,96244.61,671896.519,6970
1726272000000,2024-09-14,XVSUSDT,7.06,7.09,6.88,7.03,110442.25,769910.7646,5565
1726185600000,2024-09-13,XVSUSDT,6.99,7.1,6.87,7.06,95874.54,670447.1684,6536
1726099200000,2024-09-12,XVSUSDT,6.68,7.14,6.68,6.99,317797.51,2198842.3064,19568
1726012800000,2024-09-11,XVSUSDT,6.68,6.77,6.39,6.68,325145.9,2150383.6882,19021
1725926400000,2024-09-10,XVSUSDT,6.6,6.74,6.52,6.68,89114.64,590168.4297,5226
1725840000000,2024-09-09,XVSUSDT,6.35,6.68,6.34,6.61,98350.28,640138.542,6563
1725753600000,2024-09-08,XVSUSDT,6.16,6.43,6.13,6.36,59618.97,374816.9407,4350
1725667200000,2024-09-07,XVSUSDT,6.01,6.25,5.98,6.16,87363.4,536125.3741,5249
1725580800000,2024-09-06,XVSUSDT,6.19,6.32,5.81,6,189248.95,1153089.1475,8356
1725494400000,2024-09-05,XVSUSDT,6.34,6.41,6.14,6.18,80896.58,508454.7803,6452
1725408000000,2024-09-04,XVSUSDT,6.27,6.45,5.98,6.34,160510.54,1000285.3362,10102
1725321600000,2024-09-03,XVSUSDT,6.57,6.76,6.24,6.27,179295.92,1172661.2816,11263
1725235200000,2024-09-02,XVSUSDT,6.23,6.57,6.23,6.57,133689.38,855916.5723,10308
1725148800000,2024-09-01,XVSUSDT,6.61,6.63,6.2,6.25,110276.84,710840.959,8871
1725062400000,2024-08-31,XVSUSDT,6.62,6.77,6.56,6.61,232163.45,1548835.6318,16016
1724976000000,2024-08-30,XVSUSDT,6.67,6.74,6.31,6.62,405140.53,2674731.3749,24870
1724889600000,2024-08-29,XVSUSDT,6.75,6.97,6.58,6.68,137016.89,928081.4441,8942
1724803200000,2024-08-28,XVSUSDT,6.94,7.03,6.57,6.74,379788.22,2585025.7213,22694
1724716800000,2024-08-27,XVSUSDT,7.26,7.41,6.71,6.95,228315.11,1623528.6961,15333
1724630400000,2024-08-26,XVSUSDT,7.52,7.69,7.26,7.27,371443.03,2791532.4419,28683
1724544000000,2024-08-25,XVSUSDT,8.12,8.13,7.47,7.52,579086.74,4439247.7509,34339
1724457600000,2024-08-24,XVSUSDT,8.15,8.24,7.87,8.12,424530.09,3424703.2,30037
1724371200000,2024-08-23,XVSUSDT,7.57,8.34,7.56,8.14,1130406.11,9155063.0045,67990
1724284800000,2024-08-22,XVSUSDT,7.06,7.68,7.03,7.56,277557.21,2056882.5045,18574
1724198400000,2024-08-21,XVSUSDT,7.19,7.25,6.84,7.06,319375.43,2259503.9634,17358
1724112000000,2024-08-20,XVSUSDT,6.91,7.4,6.89,7.19,294608.07,2108553.9082,20879
1724025600000,2024-08-19,XVSUSDT,6.86,7.1,6.79,6.92,201029.48,1389040.0507,12797
1723939200000,2024-08-18,XVSUSDT,6.9,7.4,6.67,6.86,684137.59,4849565.2302,40519
1723852800000,2024-08-17,XVSUSDT,6.21,6.99,6.12,6.91,247588.39,1646419.2312,17593
1723766400000,2024-08-16,XVSUSDT,6.27,6.33,6,6.2,122562.62,753908.3606,7463
1723680000000,2024-08-15,XVSUSDT,6.39,6.48,6.13,6.27,135628.03,855978.2129,8226
1723593600000,2024-08-14,XVSUSDT,6.27,6.41,6.12,6.39,131056.85,824124.4167,9112
1723507200000,2024-08-13,XVSUSDT,6.28,6.45,6.07,6.28,294667.91,1856110.2041,17113
1723420800000,2024-08-12,XVSUSDT,6.09,6.48,6.09,6.29,169286.09,1064775.0767,12144
1723334400000,2024-08-11,XVSUSDT,6.42,6.62,6.08,6.1,99420.56,629419.3298,8267
1723248000000,2024-08-10,XVSUSDT,6.43,6.46,6.27,6.42,66146.81,420356.3863,5263
1723161600000,2024-08-09,XVSUSDT,6.53,6.59,6.23,6.43,141736.5,909752.8498,9102
