https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume BUSD,tradecount
1702512000000,2023-12-14,BNBBUSD,251.5,253.8,247.7,253.1,6372.448,1600655.0388,6109
1702425600000,2023-12-13,BNBBUSD,253.4,254.9,242.7,251.5,10386.472,2590760.2483,9699
1702339200000,2023-12-12,BNBBUSD,246.5,256.3,245.4,253.2,11147.145,2806226.045,10398
1702252800000,2023-12-11,BNBBUSD,239.9,247.8,227.5,246.3,15180.757,3616904.5849,13884
1702166400000,2023-12-10,BNBBUSD,238.0,241.4,236.9,239.7,2660.446,637927.4596,3995
1702080000000,2023-12-09,BNBBUSD,239.0,245.6,236.4,237.8,6193.078,1495920.6,8012
1701993600000,2023-12-08,BNBBUSD,232.7,239.9,232.3,239.0,6687.458,1573527.5681,8772
1701907200000,2023-12-07,BNBBUSD,229.6,235.6,228.4,232.9,12037.103,2794767.1206,9151
1701820800000,2023-12-06,BNBBUSD,231.3,234.8,228.8,229.6,10565.271,2442269.9038,10108
1701734400000,2023-12-05,BNBBUSD,233.4,234.9,228.0,231.1,9447.629,2184877.1474,10608
1701648000000,2023-12-04,BNBBUSD,228.2,237.5,225.1,233.5,14937.517,3447412.0679,13585
1701561600000,2023-12-03,BNBBUSD,229.2,231.9,226.0,228.1,8805.362,2006460.1544,6258
1701475200000,2023-12-02,BNBBUSD,228.5,230.2,226.3,229.2,5220.313,1192500.9327,4051
1701388800000,2023-12-01,BNBBUSD,227.7,230.0,227.1,228.5,4294.593,981601.984,3987
1701302400000,2023-11-30,BNBBUSD,227.3,229.3,226.1,227.6,3894.852,887046.8629,3951
1701216000000,2023-11-29,BNBBUSD,229.6,231.2,226.3,227.5,4672.978,1069205.1016,4593
1701129600000,2023-11-28,BNBBUSD,227.2,231.7,224.3,229.6,5766.239,1315276.5659,6489
1701043200000,2023-11-27,BNBBUSD,231.9,232.9,222.7,227.2,17139.324,3898357.3573,11013
1700956800000,2023-11-26,BNBBUSD,234.5,234.5,228.1,231.8,5945.403,1380173.332,7196
1700870400000,2023-11-25,BNBBUSD,233.0,235.8,232.5,234.5,4676.266,1094793.5045,5378
1700784000000,2023-11-24,BNBBUSD,233.8,236.8,231.7,233.0,8682.337,2036588.7501,8344
1700697600000,2023-11-23,BNBBUSD,236.3,239.2,230.5,233.8,11807.569,2774125.1024,9151
1700611200000,2023-11-22,BNBBUSD,225.5,238.5,224.6,236.3,41308.121,9629185.9157,23076
1700524800000,2023-11-21,BNBBUSD,253.2,271.8,224.1,225.8,90599.974,22689451.8898,79296
1700438400000,2023-11-20,BNBBUSD,246.6,268.4,238.9,253.2,36545.963,9241665.1953,31989
1700352000000,2023-11-19,BNBBUSD,244.8,247.0,242.0,246.3,7071.653,1728201.4908,7422
1700265600000,2023-11-18,BNBBUSD,244.8,245.3,238.6,244.9,8767.406,2129897.4163,8307
1700179200000,2023-11-17,BNBBUSD,242.6,246.0,238.4,244.9,14052.705,3419342.1872,12308
1700092800000,2023-11-16,BNBBUSD,253.8,255.7,240.2,242.7,18920.528,4689950.2167,17982
1700006400000,2023-11-15,BNBBUSD,242.2,254.5,242.1,253.8,16807.29,4197909.0751,14793
1699920000000,2023-11-14,BNBBUSD,241.0,249.5,234.1,242.2,28176.495,6847081.1227,20645
1699833600000,2023-11-13,BNBBUSD,247.6,250.3,240.2,240.9,46551.489,11380620.1078,34507
1699747200000,2023-11-12,BNBBUSD,251.7,252.1,244.7,247.6,10587.405,2633655.5544,12408
1699660800000,2023-11-11,BNBBUSD,251.3,255.3,246.2,251.7,14433.931,3621506.3809,13860
1699574400000,2023-11-10,BNBBUSD,251.7,257.9,248.2,251.1,19817.074,5005705.3021,16566
1699488000000,2023-11-09,BNBBUSD,246.7,255.9,240.2,251.7,25847.653,6423815.5186,24519
1699401600000,2023-11-08,BNBBUSD,246.3,248.3,244.0,246.7,14897.189,3668096.0593,10900
1699315200000,2023-11-07,BNBBUSD,255.1,255.6,242.1,246.3,22413.931,5557389.1982,17358
1699228800000,2023-11-06,BNBBUSD,244.2,255.8,241.7,255.2,22386.808,5590632.2616,19407
1699142400000,2023-11-05,BNBBUSD,237.3,245.7,236.2,244.2,15363.729,3723557.9372,15573
1699056000000,2023-11-04,BNBBUSD,230.3,238.7,229.5,237.3,9672.966,2268104.1722,9499
1698969600000,2023-11-03,BNBBUSD,231.9,232.4,225.8,230.3,12450.35,2850758.5334,12170
1698883200000,2023-11-02,BNBBUSD,228.1,233.7,227.5,231.9,20001.187,4612405.4221,18040
1698796800000,2023-11-01,BNBBUSD,226.2,229.5,222.4,228.0,12563.667,2833505.6986,12656
1698710400000,2023-10-31,BNBBUSD,228.0,229.3,224.0,226.3,14168.132,3207004.5448,11062
1698624000000,2023-10-30,BNBBUSD,226.7,229.2,224.5,228.0,10846.407,2466155.4935,9418
1698537600000,2023-10-29,BNBBUSD,225.2,227.7,223.3,226.6,6448.751,1455969.4239,6738
1698451200000,2023-10-28,BNBBUSD,224.0,228.0,224.0,225.3,8813.925,1993582.8111,8505
1698364800000,2023-10-27,BNBBUSD,223.2,231.4,219.9,224.1,31508.33,7111705.4589,18004
