https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLS,Volume BUSD,tradecount
1694131200000,2023-09-08,POLSBUSD,0.2587,0.2601,0.2567,0.2567,19232.3,4986.27807,59
1694044800000,2023-09-07,POLSBUSD,0.2552,0.2623,0.2514,0.2584,49327.6,12698.30058,204
1693958400000,2023-09-06,POLSBUSD,0.2562,0.2607,0.2525,0.2545,39693.7,10130.1813,162
1693872000000,2023-09-05,POLSBUSD,0.2483,0.2758,0.2474,0.2552,227494.3,59002.79873,642
1693785600000,2023-09-04,POLSBUSD,0.2511,0.2544,0.2465,0.248,38009.3,9487.28884,100
1693699200000,2023-09-03,POLSBUSD,0.2538,0.2579,0.2482,0.2513,59569.4,15132.38689,139
1693612800000,2023-09-02,POLSBUSD,0.2449,0.2569,0.2426,0.2546,103880.7,25917.14854,265
1693526400000,2023-09-01,POLSBUSD,0.2532,0.255,0.2426,0.2456,90419.2,22531.8307,212
1693440000000,2023-08-31,POLSBUSD,0.2589,0.259,0.249,0.2532,93181.6,23770.62859,205
1693353600000,2023-08-30,POLSBUSD,0.2665,0.2665,0.2568,0.2576,45343.2,11862.98076,80
1693267200000,2023-08-29,POLSBUSD,0.2547,0.2679,0.2496,0.2657,109975.9,28612.41436,263
1693180800000,2023-08-28,POLSBUSD,0.2556,0.2556,0.2506,0.2521,56275.7,14200.49474,123
1693094400000,2023-08-27,POLSBUSD,0.2548,0.2656,0.2538,0.2563,110876.4,28678.02548,276
1693008000000,2023-08-26,POLSBUSD,0.2579,0.2625,0.2539,0.2556,68738.9,17734.72757,141
1692921600000,2023-08-25,POLSBUSD,0.261,0.2619,0.2548,0.2579,60915.8,15719.85327,145
1692835200000,2023-08-24,POLSBUSD,0.2616,0.2711,0.2591,0.2608,231287.6,61222.7522,426
1692748800000,2023-08-23,POLSBUSD,0.2596,0.2662,0.2572,0.262,66278.9,17351.59229,227
1692662400000,2023-08-22,POLSBUSD,0.2646,0.2672,0.2522,0.2589,201106.9,52169.02911,422
