https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BUSD,tradecount
1702512000000,2023-12-14,ETHBUSD,2254.26,2329.4,2228.87,2315.1,609.3947,1386572.765261,6405
1702425600000,2023-12-13,ETHBUSD,2190.23,2275.0,2133.7,2254.98,1083.3747,2375783.187827,11225
1702339200000,2023-12-12,ETHBUSD,2223.6,2241.49,2160.01,2192.23,2737.903,6069001.002792,15994
1702252800000,2023-12-11,ETHBUSD,2353.04,2355.18,2150.0,2223.67,8870.2497,19845379.296838,24838
1702166400000,2023-12-10,ETHBUSD,2341.87,2377.96,2322.25,2352.94,4716.0327,11089146.396299,14397
1702080000000,2023-12-09,ETHBUSD,2359.08,2404.24,2328.76,2341.55,5366.1788,12672577.332733,17799
1701993600000,2023-12-08,ETHBUSD,2356.51,2394.0,2338.42,2358.98,7418.0384,17524095.19727,21341
1701907200000,2023-12-07,ETHBUSD,2234.02,2383.68,2223.34,2356.5,6894.7704,15781377.030372,24689
1701820800000,2023-12-06,ETHBUSD,2294.78,2313.11,2220.0,2234.31,11765.4092,26652475.918375,28161
1701734400000,2023-12-05,ETHBUSD,2242.91,2310.37,2184.72,2293.73,12324.2926,27650203.602637,29874
1701648000000,2023-12-04,ETHBUSD,2193.91,2275.64,2192.16,2243.58,9031.5335,20163044.211209,26332
1701561600000,2023-12-03,ETHBUSD,2166.64,2220.48,2150.19,2193.64,8529.5954,18498241.758429,19292
1701475200000,2023-12-02,ETHBUSD,2088.11,2192.01,2087.18,2165.05,8746.3396,18636632.883074,21173
1701388800000,2023-12-01,ETHBUSD,2052.7,2110.58,2045.83,2088.22,11052.9559,23094040.623983,24123
1701302400000,2023-11-30,ETHBUSD,2029.54,2055.28,2022.0,2052.52,8244.3913,16794689.674375,18815
1701216000000,2023-11-29,ETHBUSD,2048.07,2075.12,2020.43,2029.85,11053.5722,22620101.728916,21126
1701129600000,2023-11-28,ETHBUSD,2027.29,2074.22,1995.23,2048.76,13708.9702,27930364.966917,23852
1701043200000,2023-11-27,ETHBUSD,2062.91,2071.9,1985.7,2026.06,16311.1829,33071315.983412,27396
1700956800000,2023-11-26,ETHBUSD,2083.94,2095.0,2038.08,2062.6,11801.4577,24442350.628287,19505
1700870400000,2023-11-25,ETHBUSD,2082.5,2091.66,2067.0,2083.96,6582.0812,13698278.611006,12515
1700784000000,2023-11-24,ETHBUSD,2062.64,2134.1,2060.01,2082.32,18693.4087,39175122.786896,40906
1700697600000,2023-11-23,ETHBUSD,2064.53,2088.0,2041.0,2062.71,13178.0825,27190383.639315,27876
1700611200000,2023-11-22,ETHBUSD,1933.94,2092.75,1930.0,2064.21,20680.8744,41848557.061516,37005
1700524800000,2023-11-21,ETHBUSD,2021.67,2035.99,1932.77,1934.49,20918.8061,41585552.04117,40208
1700438400000,2023-11-20,ETHBUSD,2012.54,2067.27,1987.79,2022.28,18056.3792,36599790.044195,32160
1700352000000,2023-11-19,ETHBUSD,1963.58,2016.0,1944.76,2011.19,10081.491,19870184.392526,19998
1700265600000,2023-11-18,ETHBUSD,1961.16,1971.49,1917.05,1963.02,9181.2998,17901131.468066,19914
1700179200000,2023-11-17,ETHBUSD,1962.11,1991.26,1905.22,1961.16,19788.9595,38635174.967951,30319
1700092800000,2023-11-16,ETHBUSD,2059.19,2090.41,1939.41,1961.23,21964.2155,44277675.710823,42178
1700006400000,2023-11-15,ETHBUSD,1979.62,2062.07,1967.52,2058.13,17358.7113,34962362.293122,32000
1699920000000,2023-11-14,ETHBUSD,2053.77,2065.22,1932.4,1979.29,17474.4205,35268165.12119,35914
1699833600000,2023-11-13,ETHBUSD,2045.4,2118.87,2029.8,2053.28,18284.1081,37834675.381765,41128
1699747200000,2023-11-12,ETHBUSD,2054.92,2067.71,2013.7,2045.85,7880.7853,16152356.928361,23837
